Entidad,Valor,Mes,Anio
3,23.44,2,2024
3,23.68,3,2024
3,24.01,4,2024
3,24.15,5,2024
3,24.13,6,2024
3,24.34,7,2024
3,24.5,8,2024
3,24.59,9,2024
3,24.56,10,2024
3,24.47,11,2024
3,24.56,12,2024
3,24.68,1,2025
3,24.64,2,2025
3,24.05,3,2025
3,23.98,4,2025
4,15.86,1,2017
4,15.85,2,2017
4,15.76,3,2017
4,15.78,4,2017
4,15.69,5,2017
4,15.59,6,2017
4,15.51,7,2017
4,15.58,8,2017
4,15.81,9,2017
4,15.93,10,2017
4,16.01,11,2017
4,16.16,12,2017
4,16.68,1,2018
4,17.17,2,2018
4,17.36,3,2018
4,17.48,4,2018
4,17.65,5,2018
4,17.88,6,2018
4,18.3,7,2018
4,18.87,8,2018
4,19.09,9,2018
4,19.22,10,2018
4,19.2,11,2018
4,18.92,12,2018
4,18.52,1,2019
4,18.92,2,2019
4,19.62,3,2019
4,19.47,4,2019
4,19.27,5,2019
4,19.09,6,2019
4,19.19,7,2019
4,19.21,8,2019
4,19.27,9,2019
4,19.19,10,2019
4,19.19,11,2019
4,19.27,12,2019
4,19.31,1,2020
4,19.15,2,2020
4,17.8,3,2020
4,15.28,4,2020
4,16.18,5,2020
4,17.57,6,2020
4,18.64,7,2020
4,18.61,8,2020
4,18.76,9,2020
4,18.72,10,2020
4,18.29,11,2020
4,18.42,12,2020
4,19.07,1,2021
4,19.74,2,2021
4,20.04,3,2021
4,20.2,4,2021
4,20.29,5,2021
4,20.29,6,2021
4,20.41,7,2021
4,20.56,8,2021
4,20.54,9,2021
4,20.61,10,2021
4,20.55,11,2021
4,20.71,12,2021
4,20.91,1,2022
4,20.96,2,2022
4,21.22,3,2022
4,21.35,4,2022
4,21.48,5,2022
4,21.5,6,2022
4,21.66,7,2022
4,21.71,8,2022
4,21.86,9,2022
4,21.93,10,2022
4,21.91,11,2022
4,21.81,12,2022
4,21.9,1,2023
4,21.85,2,2023
4,21.82,3,2023
4,21.94,4,2023
4,21.97,5,2023
4,22.01,6,2023
4,22.02,7,2023
4,22.15,8,2023
4,22.24,9,2023
4,22.35,10,2023
4,22.38,11,2023
4,22.2,12,2023
4,22.39,1,2024
4,22.98,2,2024
4,23.2,3,2024
4,23.24,4,2024
4,23.33,5,2024
4,23.82,6,2024
4,23.96,7,2024
4,23.99,8,2024
4,23.9,9,2024
4,23.99,10,2024
4,24.05,11,2024
4,24.1,12,2024
4,24.28,1,2025
4,24.11,2,2025
4,23.93,3,2025
4,23.76,4,2025
5,16.04,1,2017
5,14.26,2,2017
5,14.76,3,2017
5,14.74,4,2017
5,14.66,5,2017
5,14.62,6,2017
5,14.49,7,2017
5,14.49,8,2017
5,14.83,9,2017
5,14.98,10,2017
5,15.11,11,2017
5,15.29,12,2017
5,15.8,1,2018
5,16.39,2,2018
5,16.52,3,2018
5,16.48,4,2018
5,16.89,5,2018
5,16.75,6,2018
5,17.14,7,2018
5,17.68,8,2018
5,17.96,9,2018
5,18.15,10,2018
5,17.95,11,2018
5,17.54,12,2018
5,16.83,1,2019
5,17.31,2,2019
5,17.84,3,2019
5,17.49,4,2019
5,17.2,5,2019
5,17.23,6,2019
5,17.22,7,2019
5,17.02,8,2019
5,17.26,9,2019
5,17.06,10,2019
5,16.98,11,2019
5,17.28,12,2019
5,17.38,1,2020
5,17.16,2,2020
5,15.23,3,2020
5,12.91,4,2020
5,14.26,5,2020
5,15.77,6,2020
5,16.56,7,2020
5,16.36,8,2020
5,16.58,9,2020
5,16.43,10,2020
5,15.77,11,2020
5,16.14,12,2020
5,17.36,1,2021
5,18.17,2,2021
5,18.37,3,2021
5,18.27,4,2021
5,18.39,5,2021
5,18.25,6,2021
5,18.14,7,2021
5,18.22,8,2021
5,18.21,9,2021
5,18.3,10,2021
5,18.15,11,2021
5,18.46,12,2021
5,18.92,1,2022
5,19.22,2,2022
5,19.75,3,2022
5,20.18,4,2022
5,20.31,5,2022
5,20.68,6,2022
5,20.45,7,2022
5,20.5,8,2022
5,19.81,9,2022
5,20.09,10,2022
5,19.69,11,2022
5,19.69,12,2022
5,19.87,1,2023
5,19.76,2,2023
5,19.75,3,2023
5,19.93,4,2023
5,20.57,5,2023
5,20.68,6,2023
5,20.72,7,2023
5,21.32,8,2023
5,21.67,9,2023
5,20.97,10,2023
5,20.84,11,2023
5,20.0,12,2023
5,20.24,1,2024
5,20.99,2,2024
5,21.15,3,2024
5,21.51,4,2024
5,21.07,5,2024
5,21.17,6,2024
5,21.72,7,2024
5,21.81,8,2024
5,21.45,9,2024
5,21.45,10,2024
5,21.44,11,2024
5,21.98,12,2024
5,22.33,1,2025
5,22.41,2,2025
5,22.39,3,2025
5,22.42,4,2025
6,16.32,1,2017
6,16.29,2,2017
6,16.21,3,2017
6,16.2,4,2017
6,16.08,5,2017
6,15.95,6,2017
6,15.86,7,2017
6,15.92,8,2017
6,16.14,9,2017
6,16.26,10,2017
6,16.35,11,2017
6,16.45,12,2017
6,17.07,1,2018
6,17.85,2,2018
6,18.11,3,2018
6,18.21,4,2018
6,18.49,5,2018
6,18.79,6,2018
6,19.01,7,2018
6,19.34,8,2018
6,19.6,9,2018
6,19.86,10,2018
6,19.9,11,2018
6,19.75,12,2018
6,19.63,1,2019
6,19.96,2,2019
6,20.52,3,2019
6,20.49,4,2019
6,20.52,5,2019
6,20.39,6,2019
6,20.47,7,2019
6,20.31,8,2019
6,20.32,9,2019
6,20.26,10,2019
6,20.29,11,2019
6,20.45,12,2019
6,20.6,1,2020
6,20.45,2,2020
6,18.85,3,2020
6,15.56,4,2020
6,16.87,5,2020
6,18.25,6,2020
6,19.26,7,2020
6,19.25,8,2020
6,19.07,9,2020
6,18.93,10,2020
6,18.15,11,2020
6,18.35,12,2020
6,19.54,1,2021
6,20.51,2,2021
6,20.93,3,2021
6,20.88,4,2021
6,20.93,5,2021
6,20.95,6,2021
6,20.83,7,2021
6,20.82,8,2021
6,20.71,9,2021
6,20.57,10,2021
6,20.65,11,2021
6,21.08,12,2021
6,21.4,1,2022
6,21.54,2,2022
6,22.1,3,2022
6,22.18,4,2022
6,22.4,5,2022
6,22.66,6,2022
6,22.67,7,2022
6,22.65,8,2022
6,22.31,9,2022
6,22.49,10,2022
6,22.33,11,2022
6,22.14,12,2022
6,22.3,1,2023
6,22.36,2,2023
6,22.55,3,2023
6,22.74,4,2023
6,22.55,5,2023
6,22.55,6,2023
6,22.56,7,2023
6,22.6,8,2023
6,22.84,9,2023
6,22.84,10,2023
6,22.71,11,2023
6,22.61,12,2023
6,22.65,1,2024
6,23.12,2,2024
6,23.22,3,2024
6,23.52,4,2024
6,23.84,5,2024
6,23.89,6,2024
6,24.1,7,2024
6,24.19,8,2024
6,23.95,9,2024
6,23.97,10,2024
6,23.9,11,2024
6,24.0,12,2024
6,24.38,1,2025
6,24.26,2,2025
6,23.86,3,2025
6,23.83,4,2025
7,15.8,1,2017
7,15.85,2,2017
7,15.71,3,2017
7,15.62,4,2017
7,15.47,5,2017
7,15.41,6,2017
7,15.36,7,2017
7,15.45,8,2017
7,15.67,9,2017
7,15.84,10,2017
7,15.97,11,2017
7,16.16,12,2017
7,16.69,1,2018
7,17.38,2,2018
7,17.61,3,2018
7,17.68,4,2018
7,17.74,5,2018
7,18.08,6,2018
7,18.43,7,2018
7,18.96,8,2018
7,19.26,9,2018
